,Instrument,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,BIDSIZE,BID,ASK,ASKSIZE,TRDPRC_1,HST_CLOSE,HSTCLSDATE,ACVOL_UNS,OPINT_1,OPINTNC,MID_IV,DELTA,GAMMA,THETA,VEGA,RHO
35,SPXn202630000.U,2026-02-20,PUT ,3000,0,0.0,0.15,1162,,0.03,2026-01-26,,21890,0,93.722,-0.0002,0.0,-0.0222,0.0117,-0.0008
36,SPXb202631000.U,2026-02-20,CALL,3100,1,3870.0,3877.1,1,,3855.2,2026-01-26,,1,0,155.6972,0.9863,0.0,-2.3068,0.6336,2.0113
37,SPXn202631000.U,2026-02-20,PUT ,3100,0,0.0,0.15,1158,,0.05,2026-01-26,,11540,3,90.2156,-0.0002,0.0,-0.0221,0.0122,-0.0009
38,SPXb202632000.U,2026-02-20,CALL,3200,1,3770.3,3777.4,1,,3755.5,2026-01-26,,3,0,150.211,0.9857,0.0,-2.3123,0.6554,2.076
39,SPXn202632000.U,2026-02-20,PUT ,3200,0,0.0,0.15,1011,,0.05,2026-01-26,,6124,0,86.8196,-0.0002,0.0,-0.0221,0.0126,-0.0009
40,SPXb202633000.U,2026-02-20,CALL,3300,1,3670.6,3677.7,1,,3655.85,2026-01-26,,0,0,144.8906,0.9851,0.0,-2.3173,0.6778,2.1406
41,SPXn202633000.U,2026-02-20,PUT ,3300,0,0.0,0.15,370,,0.1,2026-01-26,,5106,1,83.5269,-0.0002,0.0,-0.022,0.0131,-0.0009
42,SPXb202634000.U,2026-02-20,CALL,3400,1,3570.9,3578.0,1,,3558.43,2026-01-26,,9,1,139.7249,0.9846,0.0,-2.3218,0.7011,2.2051
43,SPXn202634000.U,2026-02-20,PUT ,3400,0,0.0,0.15,339,,0.1,2026-01-26,,5761,1,80.3312,-0.0002,0.0,-0.0219,0.0135,-0.001
44,SPXb202635000.U,2026-02-20,CALL,3500,1,3471.2,3478.3,1,,3456.45,2026-01-26,,0,0,134.7038,0.9839,0.0,-2.3258,0.7251,2.2694
45,SPXn202635000.U,2026-02-20,PUT ,3500,84,0.05,0.2,1169,,0.1,2026-01-26,,6435,-117,80.0929,-0.0003,0.0,-0.0343,0.0212,-0.0016
46,SPXb202636000.U,2026-02-20,CALL,3600,1,3371.5,3378.6,1,,3356.8,2026-01-26,,0,0,129.8181,0.9833,0.0,-2.3293,0.75,2.3337
47,SPXn202636000.U,2026-02-20,PUT ,3600,461,0.05,0.2,470,,0.1,2026-01-26,,9527,0,76.9706,-0.0003,0.0,-0.0342,0.022,-0.0016
48,SPXb202636500.U,2026-02-20,CALL,3650,1,3321.7,3328.8,1,,3306.95,2026-01-26,,0,0,127.4888,0.9829,0.0,-2.3356,0.7643,2.3655
49,SPXn202636500.U,2026-02-20,PUT ,3650,651,0.05,0.2,353,,0.15,2026-01-26,,3886,0,75.4409,-0.0003,0.0,-0.0341,0.0224,-0.0017
50,SPXb202637000.U,2026-02-20,CALL,3700,1,3272.0,3279.0,1,,3257.15,2026-01-26,,0,0,125.188,0.9825,0.0,-2.3418,0.7789,2.3973
51,SPXn202637000.U,2026-02-20,PUT ,3700,984,0.05,0.2,318,,0.15,2026-01-26,,9263,0,73.9315,-0.0003,0.0,-0.034,0.0228,-0.0017
